order_id,product_category,price_inr,discount_pct,payment_method,customer_tenure_days,num_previous_orders,num_previous_returns,delivery_distance_km,delivery_days,is_weekend_order,rating_given,returned
1,Footwear,2572.0,23.8,Prepaid_Card,17,1,0,272.7,5,1,2.0,0
2,Electronics,16689.0,6.7,COD,104,7,1,404.5,5,0,,1
3,Footwear,800.0,51.3,Prepaid_Card,103,3,0,253.2,8,0,3.0,0
4,Home,7930.0,49.7,COD,1479,30,4,141.6,4,0,,0
5,Apparel,715.0,0.0,COD,95,1,0,252.9,3,1,,1
6,Beauty,750.0,24.7,Prepaid_Card,102,1,1,106.3,7,1,5.0,0
7,Footwear,1444.0,32.6,Prepaid_Card,14,0,0,205.9,4,1,2.0,0
8,Footwear,4132.0,28.6,Prepaid_UPI,459,3,2,130.9,7,1,,1
9,Apparel,1775.0,44.7,Prepaid_UPI,656,11,6,471.0,4,0,4.0,0
10,Electronics,21231.0,41.6,Prepaid_UPI,231,13,2,224.2,9,1,5.0,0
11,Electronics,43048.0,26.0,Prepaid_UPI,146,2,0,130.0,4,0,,0
12,Beauty,274.0,56.2,Prepaid_UPI,59,0,0,542.5,3,0,5.0,0
13,Home,7181.0,36.1,COD,46,1,0,236.7,5,0,2.0,0
14,Footwear,742.0,16.7,Prepaid_Card,139,1,0,147.3,3,0,1.0,0
15,Electronics,18332.0,13.7,COD,908,6,2,190.3,3,0,4.0,1
16,Apparel,497.0,40.7,COD,17,0,0,362.5,7,0,2.0,0
17,Home,7992.0,10.1,COD,1207,9,2,310.7,2,0,,0
18,Apparel,2046.0,15.9,Prepaid_UPI,25,0,0,265.9,7,1,2.0,0
19,Footwear,2839.0,18.4,Prepaid_UPI,1780,11,0,99.1,8,0,2.0,0
20,Home,1977.0,27.3,Wallet,22,0,0,521.7,4,0,1.0,0
21,Footwear,1607.0,19.1,Wallet,111,2,0,393.9,5,0,4.0,0
22,Electronics,20890.0,2.2,Prepaid_UPI,434,12,7,685.8,3,1,3.0,0
23,Beauty,909.0,39.4,COD,237,2,0,225.5,7,1,3.0,1
24,Footwear,585.0,15.9,Prepaid_UPI,170,2,1,235.5,2,0,4.0,1
25,Footwear,3125.0,52.3,Prepaid_UPI,2486,17,1,46.1,7,1,3.0,0
26,Apparel,1504.0,26.6,Prepaid_UPI,1238,7,2,205.2,4,0,1.0,0
27,Electronics,40809.0,41.0,COD,321,4,0,74.4,3,0,3.0,1
28,Apparel,1258.0,31.5,COD,113,2,0,193.7,3,1,,0
29,Apparel,1020.0,41.7,Wallet,372,12,2,440.3,6,0,4.0,0
30,Home,4239.0,30.6,COD,86,1,0,306.8,2,0,,0
31,Footwear,1279.0,25.5,COD,158,1,0,460.6,6,1,,0
32,Beauty,1620.0,38.4,Prepaid_Card,304,5,0,377.3,5,1,2.0,0
33,Electronics,34927.0,59.3,COD,309,3,0,203.5,4,0,3.0,1
34,Electronics,7922.0,18.0,COD,231,2,0,109.4,6,1,1.0,1
35,Electronics,15145.0,33.9,Wallet,1001,20,0,387.8,3,1,1.0,0
36,Apparel,1962.0,21.9,Prepaid_UPI,96,16,1,225.6,4,0,1.0,0
37,Apparel,1310.0,29.6,Wallet,341,8,0,424.1,4,1,,0
38,Electronics,24494.0,22.6,COD,231,2,1,278.5,2,0,4.0,0
39,Apparel,1700.0,0.0,COD,180,3,0,309.3,4,0,2.0,0
40,Home,4750.0,19.0,Prepaid_Card,9,2,2,371.9,1,1,2.0,1
41,Electronics,4248.0,37.0,Prepaid_Card,250,3,0,489.5,3,0,4.0,0
42,Footwear,3716.0,10.5,COD,258,2,1,220.8,1,1,5.0,1
43,Home,7406.0,35.8,Prepaid_UPI,1304,10,1,225.1,2,1,5.0,0
44,Apparel,496.0,24.8,Wallet,387,5,1,361.3,2,0,5.0,0
45,Footwear,985.0,19.1,Prepaid_Card,158,2,1,147.3,5,0,1.0,0
46,Footwear,3308.0,35.6,COD,386,3,0,347.1,2,0,1.0,0
47,Electronics,27676.0,32.2,COD,23,0,0,378.7,2,0,2.0,0
48,Apparel,1089.0,28.3,COD,148,1,0,735.5,4,0,,0
49,Home,4452.0,37.2,COD,135,1,0,337.7,9,1,5.0,0
50,Apparel,1666.0,25.0,Prepaid_Card,299,15,8,468.7,1,0,4.0,0
51,Apparel,1308.0,0.0,Prepaid_Card,614,8,1,199.6,6,1,3.0,0
52,Apparel,652.0,16.3,Prepaid_Card,501,3,0,189.7,5,0,3.0,0
53,Footwear,858.0,0.0,Prepaid_UPI,228,7,1,236.4,9,0,4.0,0
54,Home,3679.0,31.9,COD,365,6,0,167.4,5,1,2.0,0
55,Home,7406.0,35.4,COD,66,1,0,344.5,5,0,,1
56,Footwear,2731.0,36.1,COD,88,1,1,139.3,5,1,3.0,1
57,Electronics,16890.0,29.3,COD,366,29,4,134.1,4,1,3.0,1
58,Home,7297.0,36.5,Prepaid_Card,51,0,0,126.6,6,1,5.0,0
59,Apparel,1100.0,0.0,Prepaid_UPI,106,3,0,311.5,3,1,1.0,0
60,Apparel,1316.0,20.4,Prepaid_UPI,281,2,0,134.5,11,0,1.0,0
61,Home,1197.0,0.8,Prepaid_Card,148,1,0,134.0,6,0,4.0,0
62,Electronics,33498.0,16.6,COD,100,1,1,135.5,4,0,5.0,1
63,Home,5692.0,46.2,COD,183,1,1,46.5,4,0,,1
64,Footwear,3677.0,38.4,COD,169,1,0,183.4,4,1,4.0,1
65,Home,2804.0,31.9,COD,69,0,0,350.6,4,1,1.0,1
66,Home,3658.0,19.3,Prepaid_UPI,36,0,0,328.1,6,1,1.0,0
67,Home,1596.0,7.1,Prepaid_Card,584,7,0,334.1,5,1,1.0,0
68,Apparel,2136.0,24.8,COD,1009,49,9,376.5,8,1,3.0,0
69,Apparel,555.0,38.7,COD,871,22,8,354.9,2,1,3.0,0
70,Electronics,29627.0,28.1,COD,57,0,0,199.7,4,0,1.0,1
71,Apparel,1669.0,0.0,Wallet,732,30,1,360.3,2,0,5.0,0
72,Electronics,8109.0,23.6,COD,29,0,0,122.7,3,1,4.0,0
73,Footwear,1961.0,0.0,COD,99,2,0,263.3,3,1,3.0,0
74,Apparel,478.0,34.1,COD,231,13,3,126.5,6,1,1.0,0
75,Apparel,1402.0,11.6,Prepaid_UPI,431,10,2,170.1,3,1,1.0,0
76,Apparel,2191.0,3.7,Prepaid_Card,48,4,0,486.9,8,1,2.0,1
77,Apparel,1174.0,34.3,Prepaid_Card,374,12,1,202.2,8,0,2.0,0
78,Home,7923.0,30.4,COD,536,5,1,169.6,6,1,1.0,1
79,Home,1272.0,25.5,COD,6,0,0,404.5,2,1,,0
80,Footwear,2070.0,54.9,Prepaid_UPI,219,2,0,159.4,8,1,5.0,0
81,Home,7245.0,31.5,COD,437,6,0,322.3,4,1,4.0,0
82,Electronics,39599.0,12.3,COD,76,1,0,278.7,4,1,2.0,1
83,Footwear,1794.0,29.8,Prepaid_Card,1587,12,4,231.2,6,1,4.0,0
84,Apparel,1621.0,17.7,COD,40,2,0,148.3,3,0,3.0,1
85,Apparel,1995.0,41.0,COD,18,1,1,562.4,7,0,4.0,0
86,Apparel,1780.0,26.2,Prepaid_UPI,1214,8,5,165.0,6,1,2.0,0
87,Footwear,3014.0,27.7,Prepaid_Card,64,1,0,501.8,11,0,1.0,1
88,Electronics,7883.0,0.4,COD,837,25,6,334.8,5,0,3.0,0
89,Apparel,531.0,22.9,COD,295,2,0,401.1,4,1,5.0,1
90,Electronics,28120.0,21.2,Prepaid_UPI,193,3,0,276.0,9,0,1.0,1
91,Apparel,1300.0,6.6,COD,1308,108,21,573.2,1,1,3.0,0
92,Home,2133.0,18.7,COD,768,18,5,656.5,5,0,4.0,0
93,Electronics,14023.0,28.5,Prepaid_Card,448,3,0,216.2,4,0,,0
94,Electronics,18373.0,21.9,Prepaid_Card,162,2,0,171.1,7,1,1.0,0
95,Apparel,1292.0,0.8,Wallet,954,10,0,260.4,11,1,5.0,1
96,Home,3305.0,17.9,COD,4,0,0,210.6,3,0,,0
97,Electronics,18163.0,15.0,COD,223,12,0,459.2,7,1,1.0,1
98,Apparel,608.0,24.9,Prepaid_Card,171,4,1,344.4,8,1,3.0,0
99,Apparel,1958.0,23.3,Prepaid_Card,2,0,0,115.5,7,0,2.0,0
100,Beauty,1582.0,15.8,COD,702,5,0,113.3,5,1,5.0,0
101,Beauty,493.0,15.2,Prepaid_Card,37,0,0,285.0,6,1,4.0,0
102,Home,3564.0,23.0,COD,176,6,2,457.5,2,0,1.0,1
103,Apparel,1150.0,36.4,Prepaid_UPI,155,11,1,153.7,8,1,5.0,1
104,Beauty,1561.0,26.2,Prepaid_UPI,471,11,3,328.9,2,1,2.0,0
105,Footwear,2935.0,43.3,Prepaid_Card,185,1,0,377.9,2,1,4.0,0
106,Home,5268.0,39.0,Wallet,124,1,1,339.1,4,1,3.0,0
107,Electronics,31768.0,44.5,Wallet,104,1,0,98.6,3,1,2.0,1
108,Apparel,586.0,42.5,COD,389,6,2,194.6,5,1,,1
109,Apparel,949.0,45.4,COD,81,1,0,196.1,4,0,5.0,1
110,Beauty,191.0,4.7,Prepaid_Card,611,6,3,378.3,3,1,5.0,1
111,Electronics,21113.0,31.7,COD,16,0,0,184.1,2,0,5.0,1
112,Apparel,1173.0,40.3,COD,195,2,0,118.1,7,1,1.0,1
113,Apparel,1722.0,43.0,COD,406,9,0,364.8,6,0,3.0,0
114,Home,1587.0,10.4,Wallet,368,5,1,139.7,2,0,4.0,0
115,Apparel,1537.0,31.9,COD,315,2,1,78.3,6,1,2.0,1
116,Footwear,1727.0,23.1,Prepaid_UPI,123,2,1,190.8,4,1,3.0,0
117,Footwear,2028.0,49.7,COD,356,3,0,84.6,1,0,5.0,0
118,Home,5839.0,1.2,COD,689,4,0,68.3,2,0,5.0,0
119,Electronics,4334.0,10.5,Prepaid_UPI,512,5,1,41.5,7,0,2.0,0
120,Home,2939.0,0.0,COD,217,2,0,316.2,7,1,5.0,0
121,Home,3313.0,24.2,COD,309,13,1,249.5,6,0,3.0,0
122,Home,5811.0,56.0,COD,25,0,0,723.5,3,1,2.0,0
123,Apparel,759.0,21.3,Prepaid_UPI,280,2,0,171.6,6,0,3.0,0
124,Electronics,42697.0,23.5,COD,16,0,0,535.0,6,0,1.0,1
125,Apparel,2196.0,30.3,COD,139,4,1,326.3,1,0,2.0,1
126,Electronics,37068.0,20.3,COD,646,4,0,178.9,6,0,,1
127,Electronics,14327.0,27.5,COD,170,3,0,124.3,5,0,4.0,0
128,Apparel,1595.0,27.9,COD,332,3,1,284.0,10,0,3.0,0
129,Apparel,550.0,9.3,Prepaid_Card,198,5,0,136.5,9,0,4.0,0
130,Home,7009.0,20.6,COD,169,4,0,280.7,4,1,5.0,0
131,Apparel,1329.0,33.1,COD,664,6,1,133.7,5,0,3.0,0
132,Beauty,565.0,35.9,Prepaid_Card,919,10,2,109.6,5,0,1.0,0
133,Home,2821.0,41.5,Prepaid_UPI,155,1,1,65.1,3,0,5.0,1
134,Electronics,36273.0,27.0,COD,112,2,0,269.1,2,0,3.0,1
135,Home,7001.0,27.3,COD,115,1,0,234.8,3,1,2.0,0
136,Apparel,1335.0,33.3,COD,263,3,1,107.1,4,0,,1
137,Beauty,1279.0,13.1,Wallet,512,20,0,220.8,7,1,4.0,1
138,Electronics,34082.0,12.5,COD,526,12,2,85.8,5,0,,1
139,Footwear,3805.0,20.1,COD,130,1,0,246.1,3,1,5.0,0
140,Apparel,1777.0,2.9,Prepaid_Card,13,0,0,224.9,3,1,1.0,0
141,Electronics,18038.0,28.1,COD,117,13,0,355.2,5,0,,0
142,Electronics,29316.0,37.7,COD,488,7,0,82.4,4,0,1.0,0
143,Beauty,2165.0,11.3,COD,378,4,0,40.1,2,1,4.0,1
